category,amt,gender,is_fraud,age,day,hour,distance_km
home,5.49,F,0,34,Mon,19,Commute
shopping,4.39,M,0,56,Thu,9,Regional
shopping,79.75,F,0,19,Wed,22,Long_Distance
shopping,4.3,F,0,36,Tue,19,Commute
entertainment,83.0,M,0,38,Fri,22,Commute
grocery,53.67,M,0,42,Mon,21,Long_Distance
grocery,1.37,M,0,40,Fri,13,Commute
entertainment,3.3,F,0,59,Mon,0,Commute
shopping,91.97,M,0,46,Fri,13,Long_Distance
shopping,137.94,M,0,28,Thu,8,Regional
travel,89.71,M,0,31,Sat,7,Local
grocery,68.01,F,0,36,Sat,11,Regional
shopping,2.85,F,0,30,Mon,18,Commute
misc,1.42,F,0,44,Thu,3,Long_Distance
shopping,9.83,F,0,37,Sat,19,Remote
shopping,2.99,M,0,51,Mon,1,Commute
misc,575.9,M,0,76,Mon,7,Regional
shopping,1.94,F,0,20,Mon,20,Long_Distance
grocery,68.12,M,0,46,Wed,2,Long_Distance
shopping,9.87,F,0,84,Wed,9,Local
health,17.47,F,0,47,Fri,23,Regional
home,190.9,F,0,65,Sat,14,Regional
home,24.68,F,0,23,Sun,15,Long_Distance
home,54.08,F,0,53,Sun,18,Commute
grocery,85.74,M,0,40,Sat,14,Commute
grocery,211.57,F,0,51,Tue,17,Remote
home,94.28,F,0,56,Sun,18,Long_Distance
home,116.83,M,0,49,Wed,19,Commute
shopping,3.11,F,0,48,Sat,14,Regional
travel,62.52,M,0,22,Wed,8,Commute
grocery,25.67,M,0,55,Sat,20,Long_Distance
shopping,122.8,F,0,22,Sat,17,Regional
personal,3.24,F,0,39,Tue,23,Regional
shopping,6.8,M,0,54,Tue,6,Long_Distance
home,19.13,F,0,51,Sat,12,Commute
misc,147.3,M,0,52,Mon,0,Long_Distance
grocery,31.08,F,0,31,Mon,9,Long_Distance
misc,6.8,M,0,75,Sun,11,Commute
entertainment,25.68,M,0,34,Sat,16,Long_Distance
grocery,99.53,M,0,33,Thu,11,Regional
travel,8.21,F,0,46,Sat,18,Long_Distance
health,6.6,F,0,45,Thu,19,Commute
home,68.05,M,0,80,Wed,12,Long_Distance
travel,80.83,F,0,48,Sat,11,Regional
grocery,38.19,M,0,40,Tue,10,Regional
home,33.1,F,0,50,Mon,16,Long_Distance
grocery,29.92,F,0,21,Fri,9,Long_Distance
misc,8.98,F,0,46,Sun,20,Remote
health,16.69,F,0,33,Thu,20,Regional
grocery,282.53,M,0,44,Fri,19,Long_Distance
home,2.35,F,0,48,Sat,13,Remote
health,10.42,F,0,38,Mon,13,Commute
misc,42.1,M,0,37,Sun,7,Long_Distance
entertainment,54.75,F,0,43,Tue,16,Long_Distance
grocery,103.95,F,0,79,Wed,3,Long_Distance
shopping,509.02,F,0,52,Sun,6,Long_Distance
grocery,83.3,F,0,74,Tue,3,Regional
home,110.39,F,0,33,Wed,16,Long_Distance
grocery,193.62,F,0,27,Tue,6,Long_Distance
home,3.17,F,0,42,Thu,15,Long_Distance
grocery,78.09,M,0,29,Tue,2,Regional
entertainment,15.68,F,0,47,Tue,12,Regional
misc,9.14,M,0,40,Mon,3,Commute
shopping,13.35,F,0,44,Tue,18,Commute
misc,5.86,F,0,47,Sun,10,Commute
shopping,100.79,F,0,36,Fri,20,Regional
travel,37.2,F,0,29,Thu,8,Commute
home,20.38,M,0,52,Tue,15,Regional
misc,22.66,M,0,24,Fri,22,Regional
grocery,1.51,F,0,36,Sun,14,Regional
shopping,2.07,F,0,48,Sat,21,Long_Distance
shopping,1.36,M,0,74,Mon,3,Long_Distance
entertainment,122.83,F,0,36,Mon,14,Long_Distance
grocery,55.61,M,0,32,Wed,1,Long_Distance
home,75.14,F,0,21,Mon,18,Commute
home,11.96,M,0,25,Sat,23,Long_Distance
grocery,104.0,M,0,30,Mon,3,Regional
home,18.48,F,0,43,Fri,23,Regional
home,128.58,M,0,24,Sun,15,Long_Distance
travel,56.21,F,0,66,Mon,1,Long_Distance
personal,19.09,F,0,44,Sat,23,Regional
health,84.75,M,0,84,Sat,16,Remote
misc,1.9,M,0,91,Wed,9,Long_Distance
grocery,23.46,M,0,25,Tue,8,Regional
health,23.44,M,0,34,Mon,15,Regional
grocery,57.71,M,0,36,Wed,11,Long_Distance
personal,1.94,F,0,34,Mon,20,Commute
misc,63.86,F,0,87,Mon,7,Regional
personal,5.95,M,0,40,Wed,21,Long_Distance
health,20.73,F,0,53,Sat,16,Regional
home,57.0,M,0,58,Tue,14,Local
misc,42.02,F,0,20,Mon,19,Long_Distance
grocery,58.27,F,0,33,Wed,21,Commute
home,25.39,M,0,76,Mon,18,Regional
misc,43.27,F,0,34,Thu,0,Remote
travel,3.24,F,0,57,Tue,13,Regional
grocery,38.39,F,0,31,Fri,2,Commute
shopping,72.79,F,0,30,Fri,19,Long_Distance
shopping,6.39,M,0,74,Fri,0,Commute
health,14.0,F,0,48,Mon,15,Long_Distance
shopping,4.52,M,0,34,Fri,13,Long_Distance
grocery,96.23,M,0,36,Fri,7,Long_Distance
grocery,62.83,F,0,37,Mon,3,Long_Distance
shopping,5.72,F,0,44,Sun,15,Long_Distance
grocery,54.23,F,0,22,Mon,3,Long_Distance
home,6.83,F,0,85,Fri,20,Regional
travel,5.23,M,0,57,Fri,17,Long_Distance
entertainment,4.98,F,0,36,Thu,23,Long_Distance
personal,12.75,M,0,24,Wed,17,Long_Distance
personal,71.5,M,0,37,Sun,13,Commute
shopping,126.28,M,0,27,Tue,10,Local
entertainment,34.87,M,0,74,Tue,19,Commute
entertainment,14.84,M,0,28,Fri,22,Long_Distance
home,121.65,F,0,32,Mon,19,Long_Distance
travel,511.98,M,0,26,Sun,16,Long_Distance
home,27.1,F,0,23,Mon,15,Regional
misc,199.89,M,0,21,Wed,13,Commute
grocery,80.33,F,0,49,Thu,9,Long_Distance
entertainment,65.87,M,0,44,Sat,20,Regional
misc,7.95,F,0,56,Sun,6,Commute
grocery,58.11,M,0,32,Mon,22,Long_Distance
home,65.43,M,0,45,Tue,12,Regional
misc,607.9,F,0,26,Sat,7,Local
grocery,125.93,M,0,65,Tue,8,Long_Distance
personal,22.41,F,0,58,Wed,19,Long_Distance
entertainment,97.33,F,0,44,Mon,15,Commute
health,11.32,F,0,23,Sat,17,Commute
home,83.0,M,0,43,Mon,14,Long_Distance
home,7.41,F,0,30,Mon,20,Remote
misc,5.96,M,0,76,Sat,2,Commute
misc,42.29,M,0,31,Fri,9,Commute
grocery,111.82,F,0,42,Thu,8,Long_Distance
grocery,42.56,F,0,43,Fri,5,Regional
home,3.3,F,0,30,Sun,16,Commute
home,189.85,M,0,34,Tue,12,Commute
health,59.86,F,0,35,Thu,18,Commute
travel,49.55,F,0,39,Mon,1,Regional
grocery,58.22,F,0,27,Tue,20,Commute
travel,496.73,M,0,45,Sat,20,Long_Distance
misc,356.96,F,0,37,Sun,0,Regional
health,1.46,F,0,22,Mon,21,Commute
travel,74.45,F,0,38,Thu,5,Regional
health,55.68,F,0,41,Tue,19,Remote
health,29.29,M,0,22,Sat,21,Long_Distance
shopping,138.34,M,0,65,Mon,8,Regional
home,9.66,F,0,80,Mon,16,Commute
personal,27.21,M,0,52,Tue,13,Local
travel,63.28,F,0,22,Sat,5,Commute
shopping,4.94,F,0,50,Thu,7,Long_Distance
travel,54.99,M,0,51,Tue,8,Commute
home,112.58,F,0,34,Sun,20,Commute
home,29.6,F,0,53,Sun,19,Long_Distance
personal,15.99,F,0,20,Sat,22,Long_Distance
shopping,3.6,F,0,47,Sun,13,Regional
misc,17.67,F,0,35,Mon,9,Commute
grocery,38.18,M,0,35,Fri,0,Commute
health,38.06,F,0,29,Fri,17,Long_Distance
entertainment,293.34,M,0,44,Sat,12,Long_Distance
shopping,9.21,F,0,63,Thu,8,Regional
grocery,55.89,M,0,47,Tue,1,Commute
personal,5.85,M,0,52,Tue,14,Regional
health,59.01,F,0,28,Thu,23,Regional
personal,20.66,M,0,33,Fri,14,Commute
personal,6.25,M,0,38,Sun,12,Commute
grocery,88.39,F,0,50,Thu,11,Commute
misc,5.91,F,0,49,Mon,4,Long_Distance
shopping,140.03,M,0,39,Mon,9,Remote
grocery,54.15,F,0,39,Tue,8,Long_Distance
grocery,122.74,F,0,70,Tue,4,Remote
grocery,70.99,M,0,58,Fri,2,Long_Distance
home,166.85,M,0,26,Wed,13,Commute
grocery,86.46,M,0,64,Thu,8,Commute
home,97.29,M,0,25,Fri,17,Long_Distance
misc,9.3,F,0,75,Thu,10,Commute
travel,10.49,M,0,34,Sat,19,Regional
shopping,33.67,F,0,70,Mon,0,Long_Distance
home,138.1,M,0,25,Fri,23,Regional
grocery,170.9,F,0,43,Fri,9,Long_Distance
health,121.11,F,0,24,Wed,16,Commute
travel,55.51,F,0,31,Mon,9,Long_Distance
home,14.81,F,0,94,Mon,21,Long_Distance
home,15.26,F,0,33,Mon,19,Commute
home,50.72,M,0,36,Wed,18,Long_Distance
health,29.37,F,0,22,Fri,13,Long_Distance
grocery,82.72,M,0,45,Mon,8,Long_Distance
entertainment,70.48,M,0,30,Mon,18,Regional
home,23.53,F,0,34,Wed,20,Regional
shopping,19.93,M,0,25,Wed,16,Commute
grocery,34.25,F,0,47,Thu,1,Long_Distance
misc,128.64,M,0,68,Sat,10,Long_Distance
misc,42.46,M,0,46,Tue,12,Commute
health,25.28,F,0,29,Sat,19,Regional
health,68.5,F,0,52,Sat,16,Local
misc,9.21,F,0,47,Wed,3,Long_Distance
health,43.88,M,0,35,Fri,12,Regional
home,68.84,M,0,46,Mon,20,Commute
misc,36.84,M,0,63,Thu,10,Regional
travel,71.14,F,0,43,Wed,3,Regional
grocery,72.34,F,0,33,Fri,10,Long_Distance
shopping,1.24,F,0,45,Mon,22,Commute
home,36.65,F,0,39,Mon,19,Long_Distance
entertainment,11.78,F,0,59,Tue,17,Commute
travel,58.37,F,0,34,Tue,5,Commute
grocery,112.02,M,0,30,Sun,7,Regional
entertainment,75.54,M,0,64,Sat,14,Long_Distance
entertainment,50.56,F,0,36,Tue,18,Commute
misc,7.21,F,0,59,Tue,5,Regional
grocery,18.12,F,0,46,Sat,20,Long_Distance
health,3.03,F,0,31,Sat,18,Commute
shopping,139.2,M,0,26,Sat,20,Long_Distance
shopping,1.42,F,0,76,Thu,8,Commute
home,100.82,M,0,21,Wed,21,Regional
grocery,98.14,M,0,16,Thu,2,Long_Distance
shopping,1.91,F,0,25,Tue,16,Commute
shopping,8.25,M,0,32,Sat,19,Commute
grocery,38.49,F,0,23,Sat,0,Regional
health,136.09,F,0,43,Sat,16,Commute
home,191.2,M,0,52,Tue,15,Long_Distance
home,226.03,F,0,46,Fri,21,Local
travel,63.1,F,0,47,Mon,7,Commute
shopping,6.79,F,0,55,Mon,1,Regional
home,9.61,M,0,76,Tue,14,Commute
grocery,59.91,M,0,47,Tue,23,Remote
travel,37.33,F,0,36,Sun,1,Commute
personal,71.82,M,0,77,Fri,14,Regional
shopping,905.46,F,0,40,Mon,16,Long_Distance
health,15.75,F,0,80,Sat,12,Long_Distance
misc,160.59,F,0,59,Wed,11,Remote
travel,56.34,F,0,60,Sun,10,Long_Distance
health,77.69,M,0,37,Wed,16,Remote
grocery,47.15,F,0,31,Sun,14,Commute
misc,32.7,M,0,34,Sat,10,Regional
home,84.1,M,0,61,Mon,19,Regional
travel,57.49,M,0,66,Sun,5,Long_Distance
shopping,5.78,M,0,56,Mon,7,Commute
home,4.85,F,0,57,Sun,17,Regional
home,28.07,M,0,34,Sun,12,Commute
misc,2.06,F,0,40,Sat,19,Long_Distance
misc,14.09,F,0,83,Thu,11,Commute
travel,76.77,M,0,31,Fri,6,Long_Distance
misc,7.02,F,0,49,Mon,1,Commute
travel,53.46,M,0,40,Mon,2,Commute
grocery,105.74,F,0,49,Thu,4,Long_Distance
misc,8.77,M,0,53,Tue,0,Regional
misc,8.08,F,0,48,Sun,21,Commute
personal,39.25,M,0,66,Sat,19,Remote
home,71.47,F,0,47,Thu,22,Local
home,40.94,F,0,42,Sun,21,Regional
grocery,91.73,M,0,26,Mon,7,Long_Distance
home,58.16,M,0,25,Sun,12,Long_Distance
grocery,193.59,F,0,47,Sat,6,Commute
health,18.34,M,0,47,Mon,14,Commute
misc,43.8,M,0,61,Fri,2,Commute
home,29.27,M,0,47,Sat,17,Long_Distance
travel,4.29,M,0,20,Tue,13,Long_Distance
personal,1.67,F,0,39,Tue,14,Long_Distance
home,8.27,M,0,56,Sun,16,Local
grocery,18.69,F,0,33,Thu,9,Commute
shopping,9.01,M,0,57,Sun,9,Long_Distance
grocery,141.26,M,0,50,Sat,2,Long_Distance
misc,1.8,F,0,32,Tue,22,Long_Distance
grocery,61.37,F,0,92,Tue,2,Commute
home,43.11,M,0,40,Mon,22,Regional
home,2.32,F,0,91,Fri,18,Long_Distance
travel,7.09,M,0,53,Mon,16,Commute
personal,64.97,F,0,54,Sun,12,Long_Distance
home,31.01,F,0,33,Tue,19,Long_Distance
grocery,200.8,F,0,48,Sat,10,Regional
travel,63.25,M,0,53,Sun,11,Long_Distance
home,74.71,F,0,36,Tue,15,Regional
travel,67.53,F,0,94,Tue,2,Commute
shopping,42.15,M,0,48,Fri,16,Regional
grocery,233.89,F,0,44,Wed,3,Long_Distance
home,62.99,F,0,48,Tue,19,Commute
shopping,161.79,M,0,48,Wed,8,Commute
home,44.86,F,0,32,Tue,23,Long_Distance
health,76.77,M,0,46,Thu,21,Regional
shopping,130.58,M,0,59,Tue,9,Commute
shopping,4.54,F,0,64,Sun,0,Long_Distance
travel,64.09,F,0,43,Tue,7,Commute
entertainment,125.27,F,0,58,Tue,9,Long_Distance
grocery,173.23,F,0,45,Thu,15,Long_Distance
entertainment,85.93,M,0,33,Sat,21,Local
health,129.12,F,0,32,Sun,14,Long_Distance
travel,44.22,F,0,29,Thu,1,Long_Distance
health,10.69,F,0,70,Sun,16,Long_Distance
grocery,62.44,M,0,44,Thu,5,Commute
misc,3.19,F,0,31,Sun,18,Long_Distance
misc,6.4,F,0,44,Sat,6,Regional
